name,popularity,duration_ms,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,valence_tags,arousal_tags,dominance_tags,genre,artists_processed,name_processed,lyrics,BERT_features
anthem,50,213133,zebrahead,0.378,0.985,0,-3.86,1,0.262,0.00827,0.0,0.534,0.41,193.035,7.850384615384614,5.320000000000001,6.726153846153846,punk,zebrahead,anthem,got girlfriend know yet got six string best friend sleeps broken neck want make mark change world flow doubt head let go can't see want lock door shut world surrounding safe problems pressures caused insecurities get get let good times roll get get take heart soul get get let good times roll feel like everyone else needs see different eyes outside looking shout anthem lives come let go like everyone else feel pain time try i'll fight bitter end shout anthem anthem lives got heartache insecurity got tongue escape want breakout carpe diem know doubt head let go can't see want find direction busy one-way street influential people never bother helping get get let good times roll get get take heart soul get get let good times roll one feel like everyone else needs see different eyes outside looking shout anthem lives come let go like everyone else feel pain time try i'll fight bitter end shout anthem anthem lives anthem misfits feel belong give shit authority majority conformity shout let us go let us go let us go let us go let us go let us go let us go everyone else needs see different eyes outside looking shout anthem lives like everyone else feel pain time try i'll fight bitter end shout anthem anthem lives feel like everyone else needs see different eyes outside looking shout anthem lives like everyone else feel pain time try i'll fight bitter end shout anthem anthem lives,"[[-0.04567983  0.08741693  0.344019   ... -0.12552369 -0.22646505
   0.11116826]
 [ 0.4358922  -0.21096133  1.2877877  ... -0.27702266 -0.21906388
   0.20948108]
 [-0.13270867 -0.6898396   0.3364221  ... -0.08802831 -0.353112
   0.0274148 ]
 ...
 [ 0.37434307  0.00262665  0.8327791  ... -0.26281664 -0.5959958
  -0.3643734 ]
 [-0.11259224 -0.01649646  0.7814822  ...  0.14601392 -0.15786006
  -0.03214538]
 [ 0.10290369 -0.0769752   0.4614758  ... -0.18007846 -0.54658914
  -0.13464502]]"
hey joe,42,185680,wilson pickett,0.51,0.671,5,-11.92,0,0.0583,0.506,0.00131,0.0839,0.813,79.878,5.796687116564417,4.498773006134969,5.462147239263804,soul,wilson pickett,hey joe,hey joe where'd ya find pearly girlie where'd ya get jolly dolly ya rate dish wish mine hey joe got skin that's creamy dreamy eyes look lovey-dovey lips red cherry berry wine listen joe ain't heel oh buddy let tell feel honey sugar pie i'm warnin i'm gonna try steal hey joe though we've best friends friendship ends gotta dolly hey joe hey joe hey joe come let's buddy buddies show palsy-walsy introduce pretty little chick hey joe quit waitin hesitatin let er what's matter slow joe come joe let's make deal let dance see real cutest girl i've ever seen tell ya face face mean steal hey joe we'll friends end looks like end friend gotta dolly i've gotta dolly hey joe hey joe,"[[-0.13704085  0.14104341 -0.11007529 ... -0.5607856   0.12912896
   0.24133235]
 [ 0.49402928  0.9940143   1.1215262  ...  0.22498497  0.75897264
   0.03302818]
 [-0.09375912 -0.0560777   0.34011132 ... -0.26165575 -0.05674313
  -0.45697215]
 ...
 [ 0.08684079 -0.25024042  0.5323751  ... -0.26530686 -0.2602058
  -0.188869  ]
 [ 0.24709678  0.25977376  0.4617228  ...  0.01358118 -0.08014901
  -0.21465825]
 [ 0.3770092   0.00439316  0.706382   ... -0.32997164 -0.1651018
  -0.06860696]]"
someone to watch over me,34,241573,willie nelson,0.609,0.24,9,-10.179,1,0.0259,0.783,0.000191,0.108,0.118,73.815,6.470000000000001,1.95,5.8,country,willie nelson,someone to watch over me,somebody i'm longing see hope turns someone who'll watch i'm little lamb who's lost wood know could always good one who'll watch although may girl men think pretty heart carries key tell please put speed follow lead oh need someone watch although may girl men think pretty heart carries key tell please put speed follow lead oh need someone watch someone watch,"[[-0.20614924 -0.12993634  0.13197902 ... -0.37685224 -0.04188433
   0.27354857]
 [-0.1028057   0.36265945  0.5047495  ... -0.25504997 -0.01838621
   0.36589038]
 [-0.31984022  0.04278369  0.5011957  ... -0.1538854  -0.17954405
  -0.39557415]
 ...
 [ 0.15265825 -0.13229151  0.5764045  ... -0.28654358 -0.1098888
  -0.09416695]
 [ 0.17163412 -0.22014455  0.60863566 ... -0.22908495 -0.1281438
  -0.06629905]
 [ 0.10861403 -0.20209154  0.59190553 ... -0.23806351 -0.18540709
  -0.04823072]]"
september song,35,273333,willie nelson,0.295,0.114,8,-14.657,1,0.0333,0.916,0.0336,0.163,0.0684,69.427,6.899101123595505,3.6493258426966295,6.496067415730338,country,willie nelson,september song,oh long long may december days grow short reach september autumn weather turns leaves flame one got time waiting game oh days dwindle precious september november precious days i'll spend precious days i'll spend oh days dwindle precious september november precious days i'll spend precious days i'll spend precious days i'll spend,"[[-0.21816233 -0.03658205  0.4805333  ... -0.42282447  0.2152066
   0.08664145]
 [ 0.0378935   0.20047143  0.6660959  ... -0.4969012   0.0067068
   0.08586697]
 [-0.05105699 -0.32945216  1.2121942  ... -0.73071164 -0.07772296
   0.28502068]
 ...
 [ 0.09025004 -0.02002692  0.95784193 ... -0.15406342 -0.3215388
  -0.26058108]
 [ 0.10037459  0.01890323  0.97125924 ... -0.11508907 -0.3496627
  -0.2242876 ]
 [ 0.24202195  0.01714281  0.80508107 ... -0.21852744 -0.08821467
  -0.32171732]]"
undo the right,20,155313,willie nelson,0.589,0.247,2,-11.177,1,0.0394,0.777,0.0,0.145,0.606,115.739,1.715,1.805,2.72,country,willie nelson,undo the right,can't say love say hate regret time held tight can't mine forever forsake can't undo wrong undo right right loved wrong held another tight go away leave lonely can't undo wrong undo right late say heart filled sorrow can't undo what's done try please help face new tomorrows can't undo wrong undo right late say heart,"[[-0.32369348 -0.19270907  0.03183707 ... -0.1804663  -0.14501399
   0.00736434]
 [ 0.90727913  0.02685782  0.560299   ... -0.04546705  0.40561363
   0.16027471]
 [ 0.5258485   0.14708172 -0.13885671 ... -0.05538767 -0.46241546
  -0.32861853]
 ...
 [-0.24866736 -0.34758228  0.41171572 ... -0.5640775   0.1176603
  -0.5972802 ]
 [-0.08459847 -0.24729997  0.54753125 ... -0.24928752 -0.14543743
  -0.41149202]
 [-0.2125491  -0.3256675   0.4391954  ... -0.53070825  0.15093885
  -0.59253424]]"
darkness on the face of the earth,21,153163,willie nelson,0.6,0.317,7,-10.603,1,0.0382,0.779,0.000629,0.162,0.687,61.728,6.27,2.95,6.73,country,willie nelson,darkness on the face of the earth,morning left another day could see sorrow found laughed told way turned ran heaven fell around stumbled darkness footsteps unsure lived within world sunshine left darling world came end darkness face earth stars fell heaven moon could found sun million pieces scattered around ever leave knew would hurt there's darkness face earth stars fell heaven moon could found sun million pieces scattered around ever leave knew would hurt there's darkness face earth there's darkness face earth,"[[-0.57414144  0.03371167  0.10675719 ... -0.50056237  0.12051681
   0.11893295]
 [ 0.21411537 -0.24518324  0.7223001  ...  0.3336029   0.2716169
  -0.78886586]
 [-0.09794081 -0.44109002  0.6475812  ... -0.18491425  0.28655595
  -0.42243788]
 ...
 [-0.00889359  0.01705942  0.3973605  ... -0.22900747  0.02084924
  -0.21947624]
 [ 0.16009419 -0.1684876   0.08263369 ... -0.14898935  0.18782365
  -0.02107061]
 [ 0.11746736 -0.16803654  0.2984759  ... -0.16995013  0.11502728
   0.06379753]]"
i don't feel it anymore (song of the sparrow),42,210692,william fitzsimmons,0.478,0.203,0,-14.528,1,0.0354,0.935,0.00449,0.108,0.296,112.685,4.93111111111111,3.0483333333333333,4.930555555555556,folk,william fitzsimmons,i don't feel it anymore (song of the sparrow),hold hurt anything i've brought us anyone could ignore i've done i've done i've done i've worked long see mess around done done done want back years took young young young done oh take away feel anymore oh take away oh take away feel anymore oh take away we'll fall like stars hung string everything everything gone map direct ever make home we're alone we're alone we're alone oh take away feel anymore oh take away oh take away feel anymore oh take away,"[[-0.2114563   0.06662761  0.18734863 ... -0.22363041  0.02978971
  -0.00297339]
 [-0.04194551  0.0136247   1.3776908  ... -0.57647204 -0.50857294
  -0.16908796]
 [-0.2002386   0.16615167  0.80374324 ... -0.41204685 -0.5992943
  -0.5368573 ]
 ...
 [ 0.19927388 -0.34050384  1.1214187  ... -0.13512667 -0.29651535
  -0.40455258]
 [ 0.27567035 -0.3396737   1.2082912  ... -0.17827877 -0.30700156
  -0.32085833]
 [ 0.35995737 -0.11544047  1.1751373  ... -0.1364575  -0.32688874
  -0.21732517]]"
after we make love,28,307600,whitney houston,0.44,0.455,9,-9.597,1,0.0297,0.646,7.43e-06,0.203,0.197,119.826,6.09,3.611666666666667,5.213333333333333,pop,whitney houston,after we make love,i've waiting long time love that's real come way gonna take getting used love stay chorus make love good lost afterglow i'm dreaming can't let feeling go make love feel i've touched heaven earth allow matters right world full wonder turned life around one day love spell put one kiss take breath away chorus make love feel i've touched heaven earth allow matters right lonely days nights well worth going i'm glad give heart away could give i've waiting long time love that's real come way gonna take getting used love stay chorus make love feel i've touched heaven earth allow matters right,"[[-0.5200728  -0.36181992  0.32581252 ... -0.2192034  -0.15783463
  -0.04934079]
 [ 0.16334362  0.1546676  -0.12850559 ...  0.26257652  0.91491467
   0.3101907 ]
 [ 0.5211103   0.17462458 -0.05005093 ... -0.3034639  -0.70024097
  -0.24088545]
 ...
 [-0.41839048 -0.44528887  0.38472942 ...  0.10226708 -0.19379826
   0.27340657]
 [-0.10054489 -0.2836405   0.44596252 ... -0.10048748 -0.25041768
   0.07227483]
 [-0.00573887 -0.23441395  0.49674228 ...  0.00628116 -0.24271639
   0.04323835]]"
where you are,40,250267,whitney houston,0.362,0.416,3,-10.797,1,0.0375,0.787,0.0,0.0713,0.373,68.328,3.135,1.475,3.365,soul,whitney houston,where you are,saw news morning saw face across screen poured coffee picked magazine chorus turned page looked inside oh lonely times never seem end far know today shopping clear mind can't stop thinkin bout hopped taxi moment home home chorus tossing turning sleep can't take without i'm gonna catch next plane got get matter near far got get know chorus want need want want baby know need know,"[[-0.10000134 -0.03516422  0.2531956  ... -0.36161143 -0.17305644
   0.16647317]
 [ 0.6482304  -0.2761159   0.58532995 ... -0.23192501  0.40968204
  -0.46670234]
 [-0.0244957  -0.2978772   0.31248146 ...  0.08243282 -0.17833272
  -0.5663707 ]
 ...
 [ 0.01676962 -0.30627632  0.50423616 ... -0.22352792 -0.24553922
  -0.02038029]
 [ 0.08230352 -0.27216643  0.5006163  ... -0.20019484 -0.27134874
  -0.03038372]
 [ 0.06344127 -0.24146222  0.4793544  ... -0.12986861 -0.3422811
  -0.04703053]]"
miracle,50,342667,whitney houston,0.627,0.55,6,-9.52,1,0.0242,0.273,7.87e-06,0.262,0.5,111.003,3.643333333333333,2.3200000000000003,3.923333333333334,pop,whitney houston,miracle,could throw away miracle could face another day made choice today pay heart full pain could understand way feel could relate much pain seems though nothing comfort today pray someone listen chorus nothing matter love grows inside choice there's miracle store nothing matter love grows inside voice love crying throw love away there's miracle store could let go miracle nothing could ever take place thought looking seems pain gained wonder could miracle wonder could spare pain seems though nothing comfort less today pray come listen chorus ever throw away miracle let slip away nothing matter chorus,"[[-4.7900814e-01 -1.6962007e-01  7.0976391e-02 ... -2.9254544e-01
  -5.7268612e-02  2.1557066e-01]
 [ 5.8455402e-01  4.6803817e-01  7.6920474e-01 ... -1.9854337e-01
   9.0441602e-01 -3.4963682e-01]
 [ 1.6271883e-01  4.4343151e-02  2.4544578e-02 ... -2.5838813e-01
  -4.9592412e-01 -6.0300267e-01]
 ...
 [ 1.3465379e-01  4.0478837e-02  4.6080890e-01 ...  4.2979227e-04
  -6.6707574e-02 -3.1818116e-01]
 [ 1.9662152e-01  2.4972705e-02  4.2985877e-01 ... -4.1065589e-03
  -7.9005904e-02 -1.6027169e-01]
 [ 1.5232323e-01 -2.0626856e-02  4.9753070e-01 ... -1.6071539e-01
  -7.6097488e-02 -3.2859087e-01]]"
